machine_code,ft_min,ft_max,ft_lo,ft_hi,ft_mean,ft_std,ft_sig_l,ft_sig_h,tt_min,tt_max,tt_lo,tt_hi,tt_mean,tt_std,tt_sig_l,tt_sig_h,tp_min,tp_max,tp_lo,tp_hi,tp_mean,tp_std,tp_sig_l,tp_sig_h,pc_min,pc_max,pc_lo,pc_hi,pc_mean,pc_std,pc_sig_l,pc_sig_h
valve0,1774.0,2015.0,1844.2289446805742,2012.2289446805742,1946.804702227605,74.27390157804409,5.163660132771046,51.497345273996785,244.0,340.0,244.10028361204508,329.1002836120451,301.25788693989125,36.27820042951348,27.999798070614737,19.625325683167954,199.0,239.0,197.6731123515983,230.6731123515983,221.1322672578664,14.382973057791583,15.875091927482917,8.681831579465907,2493.0,2515.0,2493.9061012807138,2513.9061012807138,2506.8645269888843,8.919535182430549,35.99104265699695,13.306340943875382
valve1,1768.0,1950.0,1780.9523244450554,1947.9523244450554,1882.319551095911,73.92680839509066,14.915395674112398,58.2805019062522,231.0,330.0,230.85443796777406,320.85443796777406,289.15885870383516,39.359463278530065,14.289493099746915,24.201004401257304,199.0,234.0,202.82644822204833,235.82644822204833,221.22455421479427,14.320294905769595,9.080780109757521,20.896180684176,2493.0,2515.0,2495.516013475109,2515.516013475109,2506.91529520578,8.881063763810367,4.270776162334106,11.074612593067211
valve2,1798.0,1980.0,1802.258725162916,1970.258725162916,1912.568151023307,73.98300503435449,20.828881360595965,29.11078163778106,226.0,350.0,235.44481533666084,338.44481533666084,301.34354500114006,43.10046702588247,39.82901077050692,32.12115293012262,199.0,253.0,195.47389752925957,228.47389752925957,221.2715007194207,14.326004644759317,28.05056359048995,4.785074067526812,2493.0,2515.0,2495.0413710493076,2515.0413710493076,2506.9560327814715,8.88150185436777,13.924806843089913,13.864765618651104
valve3,1753.0,2000.0,1828.665980816401,1995.665980816401,1932.1038653590356,74.0560849387321,2.732860496415796,46.883904224525196,227.0,320.0,227.65778554603196,311.65778554603196,281.19135717754364,36.35743801524207,19.486813684618397,29.321568467801537,199.0,249.0,196.4346111698701,229.4346111698701,221.18200172603542,14.344335822001232,19.17126044426994,5.438093707794691,2493.0,2515.0,2493.97969348628,2513.97969348628,2506.8942658147334,8.893270813978011,31.747405678976914,13.053334264363016
valve4,1798.0,1988.0,1801.2689529815775,1969.2689529815775,1912.446521265742,74.01134914486646,32.169652798509425,38.94999373953,207.0,330.0,238.06414343681075,323.06414343681075,291.5832795088039,36.13877887699121,2.0427115254698944,22.630742136790264,192.0,234.0,201.45984166852335,234.45984166852335,221.25727685668264,14.329702603526261,2.3695909073453554,10.99051539149469,2493.0,2515.0,2493.892083190732,2513.892083190732,2506.9432456586674,8.885058605080083,37.35204213532703,12.969953940534666
valve5,1748.0,1966.0,1744.8504413173432,1911.8504413173432,1862.1721523683339,74.04657778641361,36.05953079909696,7.660399037967349,186.0,364.0,272.84863722602853,356.84863722602853,325.4297502484266,36.13326016217692,3.476218226459515,23.60945324155921,171.0,234.0,201.64179684366138,234.64179684366138,221.19953892017224,14.338949706575566,3.4815847333993974,11.874492093429605,2493.0,2515.0,2494.1153333444704,2514.1153333444704,2506.9106933705025,8.88912010953687,28.951945603467237,13.274738164149355
valve6,1779.0,1980.0,1806.638431915272,1974.638431915272,1912.5432331380457,73.99012610187322,49.76563339682374,50.592764552335034,225.0,350.0,235.29560413801102,338.295604138011,301.34480257576206,43.12053864357079,38.45273133470385,30.587911760128023,199.0,234.0,201.26291872382617,234.26291872382617,221.27234722471275,14.327112664797347,30.29779208786387,23.26472075113274,2493.0,2515.0,2493.938042498269,2513.938042498269,2506.9552025093876,8.88188965996782,35.454938709180965,12.956493111108646
valve7,1798.0,1980.0,1811.1252959770818,1978.1252959770818,1912.0138881464295,74.08726109764032,14.002604187164108,59.67623306143704,236.0,345.0,231.29809001609237,332.2980900160924,300.74974607892403,44.06829323628681,17.55085733797152,11.93710800746135,199.0,234.0,202.26559025657704,235.26559025657704,221.1642548619204,14.350295806014822,18.4053138842372,24.196629373817476,2493.0,2515.0,2494.4422753983426,2514.4422753983426,2506.886272759347,8.895930070464958,20.946219961236554,13.50512443091519
valve8,1861.0,2133.0,1869.265290233439,2119.265290233439,2035.2456599999423,109.69117927540293,38.24701680253492,40.09169719049766,232.0,343.0,226.13849189171765,327.13849189171765,296.3633897972889,42.33441990339545,34.73060469080356,18.070449289087836,197.0,260.0,203.6771545514351,262.67715455143514,237.37700679644672,25.46785730150322,15.709189119414154,33.411650824673785,2489.0,2524.0,2493.4569592489242,2525.4569592489242,2511.506194047489,14.043077450180409,12.822391244870378,20.868643681336145
valve9,1798.0,1980.0,1802.9051882748715,1969.9051882748715,1913.8940899290335,73.30653035418827,25.569939596106437,27.17092962069114,241.0,343.0,233.69942978395926,325.69942978395926,298.5776990847172,38.67229536544938,33.56674614874099,14.20672290125949,197.0,260.0,198.85432938538716,257.85432938538713,237.15582368312081,25.536262452836095,8.344991891264392,12.052368232272956,2489.0,2524.0,2489.4292265699696,2521.4292265699696,2511.3652820813045,14.084833688876158,6.620011568938053,2.6195301393391004
valve10,1798.0,1980.0,1794.4394433436926,1962.4394433436926,1912.6928166051093,73.92429149781786,38.76277471658451,4.7600162726072455,226.0,350.0,233.62071044131488,336.6207104413149,301.4968603116902,43.11174025556544,39.00344363701055,24.436303700370637,199.0,234.0,202.91098436596565,235.91098436596565,221.30201152013905,14.316099025062314,11.16981872320032,22.28948885074373,2493.0,2515.0,2495.5535474080475,2515.5535474080475,2506.9693741289684,8.87460356448421,8.311700964150223,13.383304131172281
valve11,1798.0,1980.0,1799.2776367734245,1966.2776367734245,1912.0189327417404,74.08434799299117,24.289289982972303,19.77508910220628,226.0,350.0,235.43328550227534,338.43328550227534,301.2411095022384,43.27690764197844,39.510404608024224,32.32159054263684,199.0,234.0,200.8715641813861,233.8715641813861,221.16780158614185,14.35002664488126,35.881424845479295,23.27367910823638,2493.0,2515.0,2495.0922244137328,2515.0922244137328,2506.882668012806,8.896715721681515,2.2455662122849525,8.482341890416974
valve12,1798.0,1980.0,1810.8777660730107,1978.8777660730107,1912.4943139024952,74.02030111207499,15.336299747913069,58.93213223405558,294.0,390.0,294.49159128005505,379.49159128005505,351.5459908872876,36.17265397819033,29.211620606411806,20.59924188906624,199.0,234.0,201.7959633819164,234.7959633819164,221.25745816218065,14.337526325203417,23.61987609741077,23.739178093333727,2493.0,2515.0,2494.965546622163,2514.965546622163,2506.94512074611,8.886155433172235,14.421031466876803,13.741182171614774
valve13,1831.0,2013.0,1829.6712634515177,1996.6712634515177,1945.3135253381934,73.99701783438881,31.33430843732376,11.257817823752495,226.0,350.0,235.1445665989275,338.1445665989275,301.3651582854387,43.183884740141764,39.07177177362792,30.608446284444277,199.0,234.0,198.4721133602448,231.4721133602448,221.2327372816098,14.327452018612428,6.775886526796521,2.6471658243182894,2493.0,2515.0,2494.0763834424138,2514.0763834424138,2506.92761029784,8.88202595811943,28.67914638346749,12.953225667749674
valve14,1765.0,1947.0,1772.6917227761062,1939.6917227761062,1879.876490816517,73.80626376630939,17.20571608777081,37.67111244625998,231.0,330.0,229.78817939028949,321.7881793902895,289.46149334897234,39.29978872649615,17.568318891787797,25.30331858146048,199.0,234.0,200.81312836362417,233.81312836362417,221.33222349585478,14.294873331831717,37.932156729095254,22.544797549924407,2493.0,2515.0,2493.958422024321,2513.958422024321,2506.985871564524,8.86174702812656,35.21630104645265,12.881465105836526
valve15,1798.0,1980.0,1797.5566703788086,1964.5566703788086,1911.9102360645384,74.10190592609321,27.722430472820275,14.952500915625496,224.0,310.0,221.20531769498717,298.2053176949872,273.2493035279887,33.31684863607554,18.198767835274868,16.055341032293327,199.0,234.0,202.6452716124539,235.6452716124539,221.15518011930345,14.349980704844953,14.426049795727547,23.856488553620572,2493.0,2515.0,2493.8007306157933,2513.8007306157933,2506.878555620081,8.894758188605755,39.39654784351261,13.017032049591524
valve16,1798.0,1980.0,1807.7851572836705,1974.7851572836705,1912.6391491598329,73.90601772245753,14.867841703265048,45.32524272372449,226.0,350.0,234.57762115271805,337.57762115271805,301.5114265946549,43.14438940558196,38.41412492390201,27.68732302702486,199.0,234.0,202.59074128166915,235.59074128166915,221.29196220980904,14.311316016207448,6.467495690491474,17.95576612079772,2493.0,2515.0,2495.6207295941476,2515.6207295941476,2506.9603031367574,8.872990258115632,5.500831903702383,12.039434433858524
valve17,1754.0,1936.0,1751.218051192915,1918.218051192915,1868.382579108359,73.9729481956349,34.798218789075406,3.7033694782920286,231.0,330.0,223.5432507344778,315.5432507344778,289.18396357125346,39.39371784710038,25.083652001401354,3.9053692127771527,199.0,234.0,201.37283768712135,234.37283768712135,221.23756221556695,14.326443626472148,3.3219039250596745,11.793028877148876,2493.0,2515.0,2495.482207071676,2515.482207071676,2506.932535410916,8.880839007173622,9.128746563199414,13.718175371997974
valve18,1743.0,1925.0,1743.1158296763836,1911.1158296763836,1857.697291597351,73.89365015652068,29.86092428326345,17.006716801591978,259.0,355.0,258.27255597379144,343.27255597379144,316.68234091421334,36.08420146582105,31.665966594416446,16.56398578353625,199.0,234.0,201.5580451756132,234.5580451756132,221.30860603393688,14.306635636096306,26.290286272580044,23.263607709322915,2493.0,2515.0,2495.376135328974,2515.376135328974,2506.9790791835594,8.86769786819423,10.251216962756075,13.595246532972407
valve19,1798.0,1980.0,1807.6475923769556,1974.6475923769556,1912.1224111158706,74.0848250539049,13.228591951463509,46.042442423967614,226.0,350.0,234.55675923423632,337.5567592342363,301.17866245448704,43.231809566264374,38.269308986163736,28.78169395740529,199.0,234.0,202.73643060339003,235.73643060339003,221.17902388091667,14.353349009550454,13.491896041046296,23.59291769209581,2493.0,2515.0,2494.5278534570034,2514.5278534570034,2506.89123206254,8.899657801706955,19.558205763194387,13.548919813591878
valve20,1861.0,2133.0,1860.721145146688,2110.7211451466883,2035.2949753110577,109.62483151325365,57.3729314912924,15.125186612717197,241.0,343.0,237.70270406434202,329.702704064342,298.8630795659568,38.59222766772175,36.84481722430164,30.44097435448097,197.0,260.0,202.36032874310993,261.3603287431099,237.3484776547164,25.467990446225762,37.22985496722926,39.18691160490338,2489.0,2524.0,2491.8245609596984,2523.8245609596984,2511.498401544646,14.038917005585015,31.291651773994715,20.719413932438922
valve21,1798.0,1980.0,1809.6303245342228,1976.6303245342228,1912.049442071543,74.0984974064576,12.923326281461097,53.53550549893233,226.0,350.0,233.77843072030618,336.7784307203062,301.1753016550988,43.249311407722544,39.21189662339826,26.308669978966496,199.0,234.0,202.44350876697231,235.44350876697231,221.17350240256275,14.352092754384406,16.574786925607587,24.026938196567755,2493.0,2515.0,2494.341071259477,2514.341071259477,2506.892824345969,8.89770738869317,22.860602144120534,13.406907790519533
